level,lemma,pos,translation_pt,example_de,example_pt,topic,difficulty_note,separavel,irregular
A1,sein,verb,ser/estar,"Ich bin Student. Er ist müde.","Sou estudante. Ele está cansado.",Grundverben,Totalmente irregular: bin/bist/ist/sind/seid/sind; Präteritum: war; Partizip: gewesen,false,true
A1,haben,verb,ter,"Ich habe einen Bruder. Sie hat Zeit.","Tenho um irmão. Ela tem tempo.",Grundverben,Irregular: habe/hast/hat/haben/habt/haben; Partizip: gehabt,false,true
A1,werden,verb,tornar-se/ficar (futuro),"Er wird Arzt. Es wird kalt.","Ele vai ser médico. Está a ficar frio.",Grundverben,Irregular: werde/wirst/wird; auxiliar de futuro e passiva,false,true
A1,machen,verb,fazer/fazer (geral),"Was machst du? Ich mache Hausaufgaben.","O que estás a fazer? Estou a fazer os trabalhos de casa.",Alltag,Regular; muito versátil: machen + substantivo para muitas ações,false,false
A1,gehen,verb,ir (a pé),"Ich gehe in die Schule. Wir gehen einkaufen.","Vou para a escola. Vamos às compras.",Bewegung,Irregular: ging/gegangen; só para movimento a pé,false,true
A1,kommen,verb,vir/chegar,"Woher kommst du? Er kommt um 8 Uhr.","De onde és? Ele chega às 8 horas.",Bewegung,Irregular: kam/gekommen; usado para origem (aus + Dativ),false,true
A1,fahren,verb,andar (veículo)/conduzir,"Ich fahre mit dem Bus. Sie fährt Auto.","Ando de autocarro. Ela conduz.",Verkehr,Irregular: fährt (Vokalwechsel a→ä); fuhr/gefahren,false,true
A1,wohnen,verb,morar/viver,"Wo wohnst du? Ich wohne in Berlin.","Onde moras? Moro em Berlim.",Wohnen,Regular; a pergunta mais comum sobre alguém,false,false
A1,heißen,verb,chamar-se,"Ich heiße Thomas. Wie heißt du?","Chamo-me Thomas. Como te chamas?",Vorstellung,Irregular: heißt (não tem Umlaut); heißen/hieß/geheißen,false,true
A1,arbeiten,verb,trabalhar,"Meine Mutter arbeitet im Büro.","A minha mãe trabalha no escritório.",Arbeit,Regular; atenção: -et (não -t) em du/er por eufonia,false,false
A1,lernen,verb,aprender/estudar,"Ich lerne Deutsch. Sie lernt schnell.","Estudo alemão. Ela aprende depressa.",Bildung,Regular; ≠ studieren (nível universitário),false,false
A1,sprechen,verb,falar,"Sprechen Sie Deutsch? Er spricht Englisch.","Fala alemão? Ele fala inglês.",Sprache,Irregular: spricht (e→i); sprach/gesprochen,false,true
A1,verstehen,verb,perceber/compreender,"Ich verstehe das nicht. Verstehst du mich?","Não percebo isso. Percebes-me?",Sprache,Irregular: verstand/verstanden; verbo separável não separado (ver-),false,false
A1,lesen,verb,ler,"Ich lese ein Buch. Sie liest jeden Tag.","Leio um livro. Ela lê todos os dias.",Alltag,Irregular: liest (e→ie); las/gelesen,false,true
A1,schreiben,verb,escrever,"Ich schreibe eine E-Mail.","Escrevo um email.",Alltag,Irregular: schrieb/geschrieben; ie-Verb,false,true
A1,essen,verb,comer,"Was isst du? Ich esse Brot.","O que comes? Como pão.",Essen,Irregular: isst (e→i); aß/gegessen,false,true
A1,trinken,verb,beber,"Ich trinke Kaffee. Was trinkst du?","Bebo café. O que bebes?",Essen,Irregular: trank/getrunken,false,true
A1,schlafen,verb,dormir,"Das Kind schläft. Wie lange schläfst du?","A criança dorme. Quanto tempo dormes?",Alltag,Irregular: schläft (a→ä); schlief/geschlafen,false,true
A1,kaufen,verb,comprar,"Ich kaufe Brot im Supermarkt.","Compro pão no supermercado.",Einkaufen,Regular; fácil e frequente,false,false
A1,brauchen,verb,precisar de,"Ich brauche Hilfe. Was brauchst du?","Preciso de ajuda. O que precisas?",Alltag,Regular; construção: brauchen + Akkusativ,false,false
A1,suchen,verb,procurar,"Ich suche den Bahnhof.","Procuro a estação de comboios.",Alltag,Regular; frequente em contextos de orientação,false,false
A1,fragen,verb,perguntar,"Darf ich fragen? Er fragt den Lehrer.","Posso perguntar? Ele pergunta ao professor.",Sprache,Regular,false,false
A1,antworten,verb,responder,"Bitte antworten Sie auf meine Frage.","Por favor responda à minha pergunta.",Sprache,Regular; atenção: antworten + Dativ (antworten auf + Akk.),false,false
A1,hören,verb,ouvir/escutar,"Ich höre Musik. Hörst du mich?","Ouço música. Ouves-me?",Alltag,Regular; ≠ zuhören (prestar atenção),false,false
A1,sehen,verb,ver,"Ich sehe das Haus. Siehst du es?","Vejo a casa. Vês-la?",Alltag,Irregular: sieht (e→ie); sah/gesehen,false,true
A1,öffnen,verb,abrir,"Bitte öffnen Sie das Fenster.","Por favor abra a janela.",Alltag,Regular; atenção: öffnest (eufonia),false,false
A1,schließen,verb,fechar,"Schließ bitte die Tür!","Fecha a porta, por favor!",Alltag,Irregular: schloss/geschlossen; ss/ß alternância,false,true
A1,mögen,verb,gostar de,"Ich mag Kaffee. Magst du Sport?","Gosto de café. Gostas de desporto?",Vorlieben,Modal irregular: mag/magst/mag; mochte/gemocht,false,true
A1,wollen,verb,querer (intenção),"Ich will Deutsch lernen.","Quero aprender alemão.",Modalverben,Modal irregular: will/willst/will; wollte/gewollt,false,true
A1,können,verb,poder/saber (capacidade),"Ich kann schwimmen. Können Sie helfen?","Sei nadar. Pode ajudar?",Modalverben,Modal irregular: kann/kannst/kann; konnte/gekonnt,false,true
A1,müssen,verb,ter de (obrigação),"Ich muss jetzt gehen.","Tenho de ir agora.",Modalverben,Modal irregular: muss/musst/muss; musste/gemusst,false,true
A1,dürfen,verb,ter permissão para,"Darf ich fragen? Hier darf man nicht rauchen.","Posso perguntar? Aqui não se pode fumar.",Modalverben,Modal irregular: darf/darfst/darf; durfte/gedurft,false,true
A1,sollen,verb,dever (por obrigação externa),"Du sollst nicht lügen.","Não deves mentir.",Modalverben,Modal irregular: soll/sollst/soll; sollte/gesollt,false,true
A1,spielen,verb,jogar/tocar (instrumento),"Die Kinder spielen im Garten.","As crianças brincam no jardim.",Freizeit,Regular; jogar e tocar instrumento,false,false
A1,warten,verb,esperar,"Ich warte auf den Bus.","Espero pelo autocarro.",Alltag,Regular; warten auf + Akkusativ,false,false
A1,leben,verb,viver (existir),"Ich lebe in Portugal. Wie lange lebst du hier?","Vivo em Portugal. Há quanto tempo vives aqui?",Alltag,Regular; ≠ wohnen (residir num local específico),false,false
A1,kochen,verb,cozinhar,"Meine Mutter kocht jeden Tag.","A minha mãe cozinha todos os dias.",Essen,Regular,false,false
A1,helfen,verb,ajudar,"Kannst du mir helfen? Er hilft ihr.","Podes ajudar-me? Ele ajuda-a.",Alltag,Irregular: hilft (e→i); half/geholfen; + Dativ,false,true
A1,danken,verb,agradecer,"Ich danke Ihnen für Ihre Hilfe.","Agradeço-lhe pela sua ajuda.",Alltag,Regular; danken + Dativ,false,false
A1,bezahlen,verb,pagar,"Kann ich hier mit Karte bezahlen?","Posso pagar aqui com cartão?",Einkaufen,Regular,false,false
A2,aufstehen,verb,levantar-se,"Ich stehe jeden Morgen um 7 Uhr auf.","Levanto-me às 7 horas todas as manhãs.",Alltag,Separável: auf + stehen; stand auf/aufgestanden,true,true
A2,einschlafen,verb,adormecer,"Das Kind schläft um 9 Uhr ein.","A criança adormece às 9 horas.",Alltag,Separável: ein + schlafen; irregular,true,true
A2,anfangen,verb,começar,"Die Schule fängt um 8 Uhr an.","A escola começa às 8 horas.",Alltag,Separável: an + fangen; fängt an / fing an / angefangen,true,true
A2,aufhören,verb,parar/acabar,"Hör bitte auf! Es hört auf zu regnen.","Para, por favor! Para de chover.",Alltag,Separável: auf + hören; regular,true,false
A2,anrufen,verb,telefonar,"Ich rufe dich morgen an.","Telefono-te amanhã.",Kommunikation,Separável: an + rufen; rief an / angerufen,true,true
A2,mitnehmen,verb,levar consigo,"Kannst du mich mitnehmen?","Podes levar-me?",Alltag,Separável: mit + nehmen; irregular (nehmen),true,true
A2,ausgehen,verb,sair (lazer),"Wir gehen heute Abend aus.","Saímos esta noite.",Freizeit,Separável: aus + gehen; irregular,true,true
A2,einkaufen,verb,fazer compras,"Ich gehe samstags einkaufen.","Vou às compras ao sábado.",Einkaufen,Separável: ein + kaufen; regular,true,false
A2,fernsehen,verb,ver televisão,"Ich sehe abends fern.","Vejo televisão à noite.",Freizeit,Separável: fern + sehen; sieht fern/sah fern/ferngesehen,true,true
A2,zurückkommen,verb,regressar/voltar,"Wann kommst du zurück?","Quando voltas?",Bewegung,Separável: zurück + kommen; irregular,true,true
A2,vorstellen,verb,apresentar(-se),"Darf ich mich vorstellen? Ich stelle Ihnen meine Kollegin vor.","Posso apresentar-me? Apresento-lhe a minha colega.",Kommunikation,Separável: vor + stellen; regular; reflexivo: sich vorstellen,true,false
A2,kennenlernen,verb,conhecer (alguém pela primeira vez),"Ich habe meinen Mann auf einer Party kennengelernt.","Conheci o meu marido numa festa.",Gesellschaft,Separável: kennen + lernen; regular; importante A2,true,false
A2,bestellen,verb,encomendar/pedir (restaurante),"Ich möchte einen Kaffee bestellen.","Gostaria de pedir um café.",Essen/Einkaufen,Inseparável: be-; regular,false,false
A2,besuchen,verb,visitar,"Wir besuchen unsere Großeltern.","Visitamos os nossos avós.",Freizeit,Inseparável: be-; regular,false,false
A2,gefallen,verb,agradar/gostar de (+ Dativ),"Das Buch gefällt mir sehr.","O livro agrada-me muito.",Vorlieben,Irregular: gefällt; gefiel/gefallen; + Dativ (não + Akkusativ!),false,true
A2,interessieren,verb,interessar(-se),"Ich interessiere mich für Musik.","Interesso-me por música.",Vorlieben,Regular; reflexivo: sich interessieren für + Akkusativ,false,false
A2,treffen,verb,encontrar(-se)/reunir-se,"Ich treffe mich morgen mit Anna.","Encontro-me amanhã com a Anna.",Freizeit,Irregular: trifft (e→i); traf/getroffen,false,true
A2,reisen,verb,viajar,"Ich reise gern ins Ausland.","Gosto de viajar para o estrangeiro.",Reisen,Regular,false,false
A2,buchen,verb,reservar,"Ich möchte ein Zimmer buchen.","Gostaria de reservar um quarto.",Reisen,Regular,false,false
A2,packen,verb,fazer a mala/empacotar,"Ich muss noch meinen Koffer packen.","Ainda tenho de fazer a mala.",Reisen,Regular,false,false
A2,vergessen,verb,esquecer,"Ich habe meinen Pass vergessen.","Esqueci-me do meu passaporte.",Alltag,Irregular: vergisst (e→i); vergaß/vergessen; inseparável,false,true
A2,verlieren,verb,perder,"Ich habe mein Handy verloren.","Perdi o meu telemóvel.",Alltag,Irregular: verlor/verloren; inseparável,false,true
A2,finden,verb,encontrar/achar,"Ich finde das sehr interessant.","Acho isso muito interessante.",Alltag,Irregular: fand/gefunden,false,true
A2,brauchen (negação),verb,não precisar de (+ Infinitiv ohne zu),"Das brauche ich nicht zu machen.","Não preciso de fazer isso.",Modalverben,Negação modal: nicht brauchen + zu + Infinitiv = nicht müssen,false,false
A2,duschen,verb,tomar duche,"Ich dusche jeden Morgen.","Tomo duche todas as manhãs.",Alltag,Regular; reflexivo: sich duschen,false,false
A2,waschen,verb,lavar,"Ich wasche mir die Hände.","Lavo as mãos.",Alltag,Irregular: wäscht (a→ä); wusch/gewaschen; reflexivo: sich waschen,false,true
A2,anziehen,verb,vestir,"Zieh dich schnell an!","Veste-te depressa!",Alltag,Separável: an + ziehen; zog an/angezogen; reflexivo: sich anziehen,true,true
A2,ausziehen,verb,despir,"Zieh deine Jacke aus.","Tira o casaco.",Alltag,Separável: aus + ziehen; zog aus/ausgezogen,true,true
A2,aufräumen,verb,arrumar,"Räum bitte dein Zimmer auf.","Arruma o teu quarto, por favor.",Wohnen,Separável: auf + räumen; regular,true,false
A2,putzen,verb,limpar/escovar,"Ich putze zweimal am Tag die Zähne.","Escovo os dentes duas vezes por dia.",Alltag,Regular; Zähne putzen = escovar os dentes,false,false
A2,einladen,verb,convidar,"Ich lade dich zu meiner Party ein.","Convido-te para a minha festa.",Gesellschaft,Separável: ein + laden; lädt ein / lud ein / eingeladen,true,true
A2,gratulieren,verb,felicitar/dar parabéns,"Herzlichen Glückwunsch! Ich gratuliere dir.","Parabéns! Felicito-te.",Gesellschaft,Regular; gratulieren + Dativ,false,false
A2,empfehlen,verb,recomendar,"Können Sie mir ein Restaurant empfehlen?","Pode recomendar-me um restaurante?",Alltag,Irregular: empfiehlt (e→ie); empfahl/empfohlen; inseparável,false,true
A2,erklären,verb,explicar,"Der Lehrer erklärt die Grammatik.","O professor explica a gramática.",Sprache,Inseparável: er-; regular,false,false
A2,wiederholen,verb,repetir,"Können Sie das bitte wiederholen?","Pode repetir, por favor?",Sprache,Inseparável: wieder-; regular (atenção ao acento),false,false
A2,übersetzen,verb,traduzir,"Können Sie das ins Portugiesische übersetzen?","Pode traduzir para português?",Sprache,Separável (acento): über + setzen; regular; inseparável num sentido diferente,true,false
A2,arbeiten an,verb,trabalhar em,"Wir arbeiten an einem neuen Projekt.","Estamos a trabalhar num novo projeto.",Arbeit,Regular + an + Dativ; preposição fixa,false,false
A2,aufpassen,verb,tomar atenção/vigiar,"Pass auf! Ich passe auf das Kind auf.","Cuidado! Cuido da criança.",Alltag,Separável: auf + passen; regular,true,false
A2,probieren,verb,provar/experimentar,"Möchten Sie das probieren?","Gostaria de experimentar isso?",Essen,Regular; ≈ versuchen (tentar),false,false
A2,möchten,verb,gostaria de (forma polida),"Ich möchte einen Kaffee.","Gostaria de um café.",Modalverben,Forma de cortesia de mögen; Konjunktiv II de mögen; muito frequente,false,true
A2,leihen,verb,emprestar/pedir emprestado,"Kannst du mir dein Fahrrad leihen?","Podes emprestar-me a tua bicicleta?",Alltag,Irregular: lieh/geliehen; atenção à direção do empréstimo,false,true
A2,gewinnen,verb,ganhar (competição),"Wer hat gewonnen? Wir haben gewonnen!","Quem ganhou? Nós ganhámos!",Freizeit,Irregular: gewann/gewonnen,false,true
A2,verlieren,verb,perder (competição),"Leider haben wir verloren.","Infelizmente perdemos.",Freizeit,Irregular: verlor/verloren,false,true
A2,aufmachen,verb,abrir (separável informal),"Mach bitte die Tür auf!","Abre a porta, por favor!",Alltag,Separável: auf + machen; regular; mais informal que öffnen,true,false
B1,sich bewerben,verb,candidatar-se a,"Ich bewerbe mich um diese Stelle.","Candidato-me a este posto.",Arbeit,Irregular: bewirbt (e→i); bewarb/beworben; reflexivo obrigatório + um + Akk,false,true
B1,kündigen,verb,despedir/rescindir,"Er hat seine Stelle gekündigt.","Ele rescindiu o seu contrato.",Arbeit,Regular; intrans. = demitir-se; trans. = despedir,false,false
B1,einstellen,verb,contratar,"Das Unternehmen stellt neue Mitarbeiter ein.","A empresa está a contratar novos funcionários.",Arbeit,Separável: ein + stellen; regular; também = ajustar,true,false
B1,übernehmen,verb,assumir/encarregar-se,"Ich übernehme diese Aufgabe.","Fico encarregue desta tarefa.",Arbeit,Inseparável: über-; irregular (nehmen),false,true
B1,leiten,verb,dirigir/liderar,"Sie leitet die Abteilung seit fünf Jahren.","Ela dirige o departamento há cinco anos.",Arbeit,Regular; Leiter = líder/diretor,false,false
B1,teilnehmen,verb,participar em,"Ich nehme an dem Kurs teil.","Participo no curso.",Alltag,Separável: teil + nehmen; irregular + an + Dativ,true,true
B1,sich kümmern,verb,tratar de/ocupar-se de,"Wer kümmert sich um die Kinder?","Quem trata das crianças?",Alltag,Regular; reflexivo obrigatório + um + Akkusativ,false,false
B1,verbringen,verb,passar (tempo),"Ich verbringe meinen Urlaub in Italien.","Passo as minhas férias em Itália.",Freizeit,Inseparável: ver-; irregular: verbrachte/verbracht,false,true
B1,beschreiben,verb,descrever,"Können Sie das Problem beschreiben?","Pode descrever o problema?",Kommunikation,Inseparável: be-; irregular: beschrieb/beschrieben,false,true
B1,erkennen,verb,reconhecer/identificar,"Ich habe ihn sofort erkannt.","Reconheci-o imediatamente.",Kommunikation,Inseparável: er-; irregular: erkannte/erkannt,false,true
B1,unterscheiden,verb,distinguir/diferenciar,"Kannst du die zwei Varianten unterscheiden?","Consegues distinguir as duas variantes?",Kommunikation,Inseparável: unter-; irregular: unterschied/unterschieden,false,true
B1,vergleichen,verb,comparar,"Vergleich die beiden Möglichkeiten!","Compara as duas possibilidades!",Kommunikation,Inseparável: ver-; irregular: verglich/verglichen,false,true
B1,erfahren,verb,descobrir/saber (notícia),"Ich habe es erst heute erfahren.","Só soube hoje.",Alltag,Inseparável: er-; irregular: erfuhr/erfahren,false,true
B1,sich gewöhnen,verb,habituar-se a,"Ich gewöhne mich langsam an das Klima.","Estou a habituar-me devagar ao clima.",Alltag,Regular; reflexivo + an + Akkusativ,false,false
B1,abhängen,verb,depender de,"Das hängt von dir ab.","Isso depende de ti.",Alltag,Separável: ab + hängen; regular; + von + Dativ,true,false
B1,vorschlagen,verb,propor/sugerir,"Ich schlage vor, dass wir zusammen essen.","Proponho que comamos juntos.",Kommunikation,Separável: vor + schlagen; irregular: schlägt vor/schlug vor/vorgeschlagen,true,true
B1,auffordern,verb,pedir/instar,"Er forderte mich auf, Platz zu nehmen.","Ele pediu-me que me sentasse.",Kommunikation,Separável: auf + fordern; regular,true,false
B1,zustimmen,verb,concordar,"Ich stimme Ihrer Meinung zu.","Concordo com a sua opinião.",Kommunikation,Separável: zu + stimmen; regular + Dativ,true,false
B1,ablehnen,verb,rejeitar/recusar,"Er hat das Angebot abgelehnt.","Ele recusou a oferta.",Kommunikation,Separável: ab + lehnen; regular,true,false
B1,vorhaben,verb,tencionar/planear fazer,"Was hast du am Wochenende vor?","O que tencionas fazer ao fim de semana?",Alltag,Separável: vor + haben; irregular (haben); sehr frequente,true,true
B1,aufnehmen,verb,gravar/admitir/receber,"Die Universität nimmt 500 Studenten auf.","A universidade admite 500 estudantes.",Alltag,Separável: auf + nehmen; irregular (nehmen); múltiplos sentidos,true,true
B1,nachdenken,verb,pensar/refletir,"Ich muss darüber nachdenken.","Tenho de pensar nisso.",Denken,Separável: nach + denken; irregular: dachte nach/nachgedacht,true,true
B1,überlegen,verb,considerar/ponderar,"Ich überlege mir, ob ich das mache.","Estou a ponderar se faço isso.",Denken,Regular; reflexivo: sich überlegen; + ob/dass,false,false
B1,bemerken,verb,notar/aperceber-se de,"Ich habe bemerkt, dass etwas fehlt.","Apercebi-me de que faltava algo.",Denken,Inseparável: be-; regular; ≈ wahrnehmen,false,false
B1,beachten,verb,ter em conta/prestar atenção,"Bitte beachten Sie die Vorschriften.","Por favor tenha em conta as regras.",Alltag,Inseparável: be-; regular; formal,false,false
B1,erreichen,verb,alcançar/atingir,"Ich habe mein Ziel erreicht.","Alcancei o meu objetivo.",Alltag,Inseparável: er-; regular,false,false
