level,lemma,pos,article,plural,gender,translation_pt,example_de,example_pt,topic,difficulty_note
A1,Haus,noun,das,Häuser,neutro,casa/lar,"Das Haus ist groß und hell.","A casa é grande e luminosa.",Wohnen,Plural com Umlaut: Haus→Häuser
A1,Wohnung,noun,die,Wohnungen,fem,apartamento,"Meine Wohnung hat drei Zimmer.","O meu apartamento tem três quartos.",Wohnen,Sufixo -ung sempre feminino
A1,Zimmer,noun,das,Zimmer,neutro,quarto/divisão,"Das Zimmer ist sehr klein.","O quarto é muito pequeno.",Wohnen,Plural igual ao singular
A1,Küche,noun,die,Küchen,fem,cozinha,"Die Küche ist modern und groß.","A cozinha é moderna e grande.",Wohnen,Do latim coquina
A1,Badezimmer,noun,das,Badezimmer,neutro,casa de banho,"Das Badezimmer ist rechts.","A casa de banho fica à direita.",Wohnen,Composto: Bad + Zimmer
A1,Tisch,noun,der,Tische,masc,mesa,"Der Tisch steht im Esszimmer.","A mesa fica na sala de jantar.",Wohnen,Plural com -e
A1,Stuhl,noun,der,Stühle,masc,cadeira,"Der Stuhl ist aus Holz.","A cadeira é de madeira.",Wohnen,Plural com Umlaut + -e
A1,Bett,noun,das,Betten,neutro,cama,"Das Bett ist sehr bequem.","A cama é muito confortável.",Wohnen,Plural com -en
A1,Fenster,noun,das,Fenster,neutro,janela,"Das Fenster ist offen.","A janela está aberta.",Wohnen,Do latim fenestra; plural igual
A1,Tür,noun,die,Türen,fem,porta,"Die Tür ist zu.","A porta está fechada.",Wohnen,Não confundir com Tor (portão)
A1,Mutter,noun,die,Mütter,fem,mãe,"Meine Mutter kocht sehr gut.","A minha mãe cozinha muito bem.",Familie,Plural com Umlaut
A1,Vater,noun,der,Väter,masc,pai,"Mein Vater arbeitet in der Stadt.","O meu pai trabalha na cidade.",Familie,Plural com Umlaut
A1,Bruder,noun,der,Brüder,masc,irmão,"Mein Bruder ist älter als ich.","O meu irmão é mais velho do que eu.",Familie,Plural com Umlaut
A1,Schwester,noun,die,Schwestern,fem,irmã,"Meine Schwester studiert Medizin.","A minha irmã estuda Medicina.",Familie,Plural com -n
A1,Kind,noun,das,Kinder,neutro,criança,"Das Kind spielt im Garten.","A criança brinca no jardim.",Familie,Plural com -er
A1,Familie,noun,die,Familien,fem,família,"Meine Familie ist sehr groß.","A minha família é muito grande.",Familie,Do latim familia
A1,Freund,noun,der,Freunde,masc,amigo/namorado,"Mein Freund wohnt in Berlin.","O meu amigo mora em Berlim.",Familie,Feminino: Freundin
A1,Freundin,noun,die,Freundinnen,fem,amiga/namorada,"Meine Freundin kommt heute.","A minha amiga vem hoje.",Familie,Sufixo -in para feminino
A1,Mann,noun,der,Männer,masc,homem/marido,"Der Mann liest ein Buch.","O homem lê um livro.",Familie,Plural com Umlaut + -er
A1,Frau,noun,die,Frauen,fem,mulher/esposa,"Die Frau arbeitet im Büro.","A mulher trabalha no escritório.",Familie,Plural com -en
A1,Großmutter,noun,die,Großmütter,fem,avó,"Meine Großmutter backt Kuchen.","A minha avó faz bolo.",Familie,Composto: groß + Mutter
A1,Großvater,noun,der,Großväter,masc,avô,"Mein Großvater ist 80 Jahre alt.","O meu avô tem 80 anos.",Familie,Composto: groß + Vater
A1,Name,noun,der,Namen,masc,nome,"Wie ist Ihr Name?","Qual é o seu nome?",Alltag,Plural com -n
A1,Adresse,noun,die,Adressen,fem,morada/endereço,"Wie ist Ihre Adresse?","Qual é a sua morada?",Alltag,Do francês adresse
A1,Telefonnummer,noun,die,Telefonnummern,fem,número de telefone,"Wie ist deine Telefonnummer?","Qual é o teu número de telefone?",Alltag,Composto longo mas essencial no A1
A1,Land,noun,das,Länder,neutro,país/terra,"Aus welchem Land kommen Sie?","De que país é?",Alltag,Plural com Umlaut + -er
A1,Sprache,noun,die,Sprachen,fem,língua/idioma,"Ich lerne die deutsche Sprache.","Aprendo a língua alemã.",Alltag,De sprechen
A1,Wort,noun,das,Wörter,neutro,palavra,"Ich verstehe dieses Wort nicht.","Não percebo esta palavra.",Alltag,Plural com Umlaut + -er (≠ Worte = palavras em contexto)
A1,Buch,noun,das,Bücher,neutro,livro,"Das Buch ist sehr interessant.","O livro é muito interessante.",Alltag,Plural com Umlaut + -er
A1,Schule,noun,die,Schulen,fem,escola,"Die Kinder gehen in die Schule.","As crianças vão para a escola.",Alltag,Do latim schola
A1,Lehrer,noun,der,Lehrer,masc,professor,"Der Lehrer erklärt die Grammatik.","O professor explica a gramática.",Alltag,Plural igual; feminino: Lehrerin
A1,Stift,noun,der,Stifte,masc,caneta/lápis,"Hast du einen Stift für mich?","Tens uma caneta para mim?",Alltag,Usado para caneta e lápis
A1,Heft,noun,das,Hefte,neutro,caderno,"Ich schreibe ins Heft.","Escrevo no caderno.",Alltag,Plural com -e
A1,Tag,noun,der,Tage,masc,dia,"Heute ist ein schöner Tag.","Hoje é um dia bonito.",Zeit,Plural com -e
A1,Woche,noun,die,Wochen,fem,semana,"Diese Woche lerne ich viel.","Esta semana estudo muito.",Zeit,Plural com -n
A1,Monat,noun,der,Monate,masc,mês,"Der Monat Januar ist kalt.","O mês de janeiro é frio.",Zeit,Plural com -e
A1,Jahr,noun,das,Jahre,neutro,ano,"Das Jahr hat zwölf Monate.","O ano tem doze meses.",Zeit,Plural com -e
A1,Uhr,noun,die,Uhren,fem,relógio/hora,"Die Uhr an der Wand ist kaputt.","O relógio na parede está avariado.",Zeit,Também usado para horas: um 8 Uhr
A1,Morgen,noun,der,Morgen,masc,manhã,"Am Morgen trinke ich Kaffee.","De manhã bebo café.",Zeit,Plural igual; também = amanhã (advérbio)
A1,Abend,noun,der,Abende,masc,tarde/noite,"Am Abend lese ich ein Buch.","À noite leio um livro.",Zeit,Plural com -e
A1,Nacht,noun,die,Nächte,fem,noite,"Die Nacht ist sehr ruhig.","A noite é muito calma.",Zeit,Plural com Umlaut + -e; mais tarde que Abend
A1,Brot,noun,das,Brote,neutro,pão,"Ich esse morgens Brot.","De manhã como pão.",Essen,Plural com -e
A1,Wasser,noun,das,Wässer,neutro,água,"Ich trinke viel Wasser.","Bebo muita água.",Essen,Plural raro no singular coletivo
A1,Milch,noun,die,,fem,leite (sem plural usual),"Kinder trinken gern Milch.","As crianças gostam de beber leite.",Essen,Sem plural habitual
A1,Kaffee,noun,der,Kaffees,masc,café,"Ich möchte einen Kaffee.","Queria um café.",Essen,Do árabe qahwa
A1,Tee,noun,der,Tees,masc,chá,"Ich trinke lieber Tee als Kaffee.","Prefiro chá a café.",Essen,Do chinês via holandês
A1,Apfel,noun,der,Äpfel,masc,maçã,"Der Apfel ist frisch und süß.","A maçã é fresca e doce.",Essen,Plural com Umlaut + -el→Äpfel
A1,Ei,noun,das,Eier,neutro,ovo,"Ich esse zum Frühstück zwei Eier.","Ao pequeno-almoço como dois ovos.",Essen,Plural com -er
A1,Fleisch,noun,das,,neutro,carne (sem plural usual),"Das Fleisch ist zu salzig.","A carne está demasiado salgada.",Essen,Sem plural habitual
A1,Gemüse,noun,das,,neutro,legumes (sem plural usual),"Gemüse ist gesund.","Os legumes são saudáveis.",Essen,Palavra coletiva; sem plural habitual
A1,Suppe,noun,die,Suppen,fem,sopa,"Die Suppe ist sehr heiß.","A sopa está muito quente.",Essen,Plural com -n
A1,Kuchen,noun,der,Kuchen,masc,bolo,"Meine Oma backt guten Kuchen.","A minha avó faz um bolo delicioso.",Essen,Plural igual ao singular
A1,Geld,noun,das,Gelder,neutro,dinheiro,"Ich habe kein Geld dabei.","Não tenho dinheiro comigo.",Alltag,Plural raro (usado para fundos)
A1,Straße,noun,die,Straßen,fem,rua,"Die Straße ist sehr laut.","A rua é muito barulhenta.",Stadt,Do latim strata
A1,Bahnhof,noun,der,Bahnhöfe,masc,estação de comboios,"Der Bahnhof ist in der Mitte.","A estação fica no centro.",Stadt,Composto: Bahn + Hof
A1,Bus,noun,der,Busse,masc,autocarro,"Ich fahre mit dem Bus.","Ando de autocarro.",Verkehr,De Omnibus
A1,Auto,noun,das,Autos,neutro,carro/automóvel,"Das Auto ist rot.","O carro é vermelho.",Verkehr,De Automobil
A1,Fahrrad,noun,das,Fahrräder,neutro,bicicleta,"Ich fahre gern Fahrrad.","Gosto de andar de bicicleta.",Verkehr,Composto: Fahr + Rad
A1,Kopf,noun,der,Köpfe,masc,cabeça,"Mein Kopf tut weh.","A minha cabeça dói.",Körper,Plural com Umlaut + -e
A1,Hand,noun,die,Hände,fem,mão,"Wasch deine Hände!","Lava as mãos!",Körper,Plural com Umlaut + -e
A1,Auge,noun,das,Augen,neutro,olho,"Sie hat blaue Augen.","Ela tem olhos azuis.",Körper,Plural com -n
A1,Ohr,noun,das,Ohren,neutro,orelha/ouvido,"Die Ohren sind kalt.","As orelhas estão frias.",Körper,Plural com -en
A1,Nase,noun,die,Nasen,fem,nariz,"Meine Nase ist rot.","O meu nariz está vermelho.",Körper,Plural com -n
A1,Mund,noun,der,Münder,masc,boca,"Öffne bitte den Mund!","Abre a boca, por favor!",Körper,Plural com Umlaut + -er
A1,Arm,noun,der,Arme,masc,braço,"Er hat einen langen Arm.","Ele tem um braço comprido.",Körper,Plural com -e
A1,Bein,noun,das,Beine,neutro,perna,"Mein Bein tut weh.","A minha perna dói.",Körper,Plural com -e; também = osso em compostos
A1,Rücken,noun,der,Rücken,masc,costas,"Mein Rücken schmerzt.","As minhas costas doem.",Körper,Plural igual; dores nas costas = Rückenschmerzen
A1,Farbe,noun,die,Farben,fem,cor,"Welche Farbe magst du?","De que cor gostas?",Farben,Plural com -n
A1,Arbeit,noun,die,Arbeiten,fem,trabalho,"Die Arbeit beginnt um 9 Uhr.","O trabalho começa às 9 horas.",Alltag,De arbeiten
A1,Büro,noun,das,Büros,neutro,escritório,"Ich arbeite im Büro.","Trabalho no escritório.",Alltag,Do francês bureau
A1,Arzt,noun,der,Ärzte,masc,médico,"Der Arzt kommt gleich.","O médico já vem.",Gesundheit,Plural com Umlaut + -e; feminino: Ärztin
A1,Krankenhaus,noun,das,Krankenhäuser,neutro,hospital,"Er ist im Krankenhaus.","Ele está no hospital.",Gesundheit,Composto: krank + Haus
A1,Handy,noun,das,Handys,neutro,telemóvel,"Mein Handy ist neu.","O meu telemóvel é novo.",Alltag,Anglicismo; plural com -s
A1,Foto,noun,das,Fotos,neutro,fotografia,"Das Foto ist sehr schön.","A fotografia é muito bonita.",Alltag,Plural com -s
A1,groß,adj,,,,"grande/alto","Das Haus ist sehr groß.","A casa é muito grande.",Adj-Basis,Comparativo: größer; superlativo: am größten
A1,klein,adj,,,,"pequeno/baixo","Das Kind ist noch klein.","A criança ainda é pequena.",Adj-Basis,Comparativo: kleiner
A1,gut,adj,,,,bom,"Das Essen ist sehr gut.","A comida está muito boa.",Adj-Basis,Irregular: besser / am besten
A1,schlecht,adj,,,,mau/mau,"Das Wetter ist schlecht.","O tempo está mau.",Adj-Basis,Comparativo: schlechter
A1,neu,adj,,,,novo,"Das Auto ist neu.","O carro é novo.",Adj-Basis,Comparativo: neuer
A1,alt,adj,,,,velho/antigo,"Das Haus ist sehr alt.","A casa é muito antiga.",Adj-Basis,Comparativo irregular: älter
A1,schön,adj,,,,bonito/belo,"Das ist eine schöne Stadt.","É uma cidade bonita.",Adj-Basis,Comparativo: schöner
A1,kalt,adj,,,,frio,"Das Wasser ist kalt.","A água está fria.",Adj-Basis,Comparativo: kälter (com Umlaut)
A1,warm,adj,,,,quente/morno,"Die Suppe ist warm.","A sopa está quente.",Adj-Basis,Comparativo: wärmer
A1,billig,adj,,,,barato,"Das ist sehr billig.","Isso é muito barato.",Adj-Basis,Comparativo: billiger
A1,teuer,adj,,,,caro,"Das Hotel ist sehr teuer.","O hotel é muito caro.",Adj-Basis,Comparativo: teurer
A1,jung,adj,,,,jovem,"Er ist noch sehr jung.","Ele é ainda muito jovem.",Adj-Basis,Comparativo: jünger
A1,lang,adj,,,,comprido/longo,"Der Weg ist sehr lang.","O caminho é muito longo.",Adj-Basis,Comparativo: länger
A1,kurz,adj,,,,curto,"Das ist eine kurze Antwort.","Esta é uma resposta curta.",Adj-Basis,Comparativo: kürzer
A1,richtig,adj,,,,correto/certo,"Das ist richtig!","Isso está correto!",Adj-Basis,Usado também como advérbio
A1,falsch,adj,,,,errado/falso,"Das ist falsch.","Isso está errado.",Adj-Basis,Oposto de richtig
A1,viel,adj,,,,muito (quantidade),"Ich habe viel Arbeit.","Tenho muito trabalho.",Adj-Basis,Irregular: mehr / am meisten
A1,wenig,adj,,,,pouco,"Ich habe wenig Zeit.","Tenho pouco tempo.",Adj-Basis,Comparativo: weniger
A1,schnell,adj,,,,rápido,"Das Auto fährt sehr schnell.","O carro anda muito rápido.",Adj-Basis,Comparativo: schneller
A1,langsam,adj,,,,lento/devagar,"Bitte sprechen Sie langsam.","Por favor fale devagar.",Adj-Basis,Comparativo: langsamer
A1,müde,adj,,,,cansado,"Ich bin sehr müde.","Estou muito cansado.",Adj-Basis,Sem plural
A1,hungrig,adj,,,,com fome,"Ich bin hungrig.","Estou com fome.",Adj-Basis,Sem plural
A1,glücklich,adj,,,,feliz/contente,"Sie ist sehr glücklich.","Ela está muito feliz.",Adj-Basis,Comparativo: glücklicher
A1,Guten Morgen,phrase,,,,"Bom dia (de manhã)","Guten Morgen! Wie geht es Ihnen?","Bom dia! Como está?",Begrüßung,Saudação da manhã (até ~11h)
A1,Guten Tag,phrase,,,,"Bom dia / Boa tarde","Guten Tag! Was darf es sein?","Bom dia! O que deseja?",Begrüßung,Saudação neutra durante o dia
A1,Guten Abend,phrase,,,,Boa noite (saudação),"Guten Abend! Nehmen Sie Platz.","Boa noite! Sente-se.",Begrüßung,Saudação ao fim do dia
A1,Auf Wiedersehen,phrase,,,,Adeus (formal),"Auf Wiedersehen und gute Reise!","Adeus e boa viagem!",Begrüßung,Formal; informal: Tschüss
A1,Bitte,phrase,,,,Por favor / De nada,"Einen Kaffee, bitte!","Um café, por favor!",Begrüßung,Duplo significado: pedido + resposta a obrigado
A1,Danke,phrase,,,,Obrigado,"Danke für Ihre Hilfe.","Obrigado pela sua ajuda.",Begrüßung,Reforço: Danke schön / Vielen Dank
A1,Entschuldigung,phrase,,,,Desculpe/Com licença,"Entschuldigung, wo ist der Bahnhof?","Com licença, onde fica a estação?",Begrüßung,Também Entschuldigen Sie
A1,Es tut mir leid,phrase,,,,Lamento/Desculpe,"Es tut mir leid, ich kann nicht kommen.","Lamento, não posso vir.",Begrüßung,Mais intenso que Entschuldigung
A2,Supermarkt,noun,der,Supermärkte,masc,supermercado,"Ich gehe in den Supermarkt.","Vou ao supermercado.",Einkaufen,Plural com Umlaut + -e
A2,Geschäft,noun,das,Geschäfte,neutro,loja/negócio,"Das Geschäft öffnet um 9 Uhr.","A loja abre às 9 horas.",Einkaufen,Plural com -e
A2,Kasse,noun,die,Kassen,fem,caixa (registadora),"Bezahlen Sie bitte an der Kasse.","Pague na caixa, por favor.",Einkaufen,Plural com -n
A2,Preis,noun,der,Preise,masc,preço,"Wie viel kostet das? Was ist der Preis?","Quanto custa? Qual é o preço?",Einkaufen,Plural com -e
A2,Quittung,noun,die,Quittungen,fem,recibo,"Kann ich eine Quittung haben?","Posso ter um recibo?",Einkaufen,Sufixo -ung sempre feminino
A2,Größe,noun,die,Größen,fem,tamanho/número (roupa),"Welche Größe haben Sie?","Qual é o seu tamanho?",Einkaufen,De groß + -e
A2,Kleidung,noun,die,,fem,roupa (coletivo),"Die Kleidung ist sehr modern.","A roupa é muito moderna.",Einkaufen,Sem plural habitual; -ung sempre feminino
A2,Hemd,noun,das,Hemden,neutro,camisa (homem),"Das Hemd ist weiß.","A camisa é branca.",Einkaufen,Plural com -en; não confundir com Bluse (blusa)
A2,Hose,noun,die,Hosen,fem,calças,"Die Hose ist zu eng.","As calças estão demasiado apertadas.",Einkaufen,Singular em alemão; plural em português
A2,Schuh,noun,der,Schuhe,masc,sapato,"Die Schuhe sind bequem.","Os sapatos são confortáveis.",Einkaufen,Plural com -e; usado quase sempre no plural
A2,Jacke,noun,die,Jacken,fem,casaco/jaqueta,"Die Jacke ist warm.","O casaco é quente.",Einkaufen,Plural com -n
A2,Apotheke,noun,die,Apotheken,fem,farmácia,"Die Apotheke ist geöffnet.","A farmácia está aberta.",Gesundheit,Plural com -n; não confundir com Drogerie
A2,Medikament,noun,das,Medikamente,neutro,medicamento,"Nehmen Sie dieses Medikament.","Tome este medicamento.",Gesundheit,Plural com -e
A2,Erkältung,noun,die,Erkältungen,fem,constipação,"Ich habe eine Erkältung.","Estou constipado/a.",Gesundheit,Sufixo -ung; de erkälten
A2,Fieber,noun,das,,neutro,febre,"Ich habe 38 Grad Fieber.","Tenho 38 graus de febre.",Gesundheit,Geralmente sem plural
A2,Schmerz,noun,der,Schmerzen,masc,dor,"Ich habe Schmerzen im Rücken.","Tenho dores nas costas.",Gesundheit,Plural com -en; quase sempre no plural
A2,Tablette,noun,die,Tabletten,fem,comprimido,"Nehmen Sie drei Tabletten pro Tag.","Tome três comprimidos por dia.",Gesundheit,Plural com -n
A2,Rezept,noun,das,Rezepte,neutro,receita médica/culinária,"Ich brauche ein Rezept.","Preciso de uma receita.",Gesundheit,Plural com -e; duplo significado
A2,Urlaub,noun,der,Urlaube,masc,férias,"Wir fahren nächste Woche in Urlaub.","Na semana que vem vamos de férias.",Freizeit,Plural raro; quase sempre singular
A2,Reise,noun,die,Reisen,fem,viagem,"Die Reise war wunderbar.","A viagem foi maravilhosa.",Freizeit,Plural com -n
A2,Strand,noun,der,Strände,masc,praia,"Am Strand ist es schön warm.","Na praia está muito agradável.",Freizeit,Plural com Umlaut + -e
A2,Sport,noun,der,,masc,desporto (coletivo),"Ich treibe dreimal pro Woche Sport.","Faço desporto três vezes por semana.",Freizeit,Quase sem plural; Sport treiben = fazer desporto
A2,Musik,noun,die,,fem,música,"Ich höre gern Musik.","Gosto de ouvir música.",Freizeit,Sem plural habitual
A2,Kino,noun,das,Kinos,neutro,cinema,"Wollen wir heute ins Kino gehen?","Vamos ao cinema hoje?",Freizeit,Plural com -s
A2,Theater,noun,das,Theater,neutro,teatro,"Wir gehen ins Theater.","Vamos ao teatro.",Freizeit,Plural igual ao singular
A2,Konzert,noun,das,Konzerte,neutro,concerto,"Das Konzert beginnt um 20 Uhr.","O concerto começa às 20 horas.",Freizeit,Plural com -e
A2,Hobby,noun,das,Hobbys,neutro,passatempo/hobby,"Was ist dein Hobby?","Qual é o teu passatempo?",Freizeit,Plural com -s; anglicismo
A2,Wetter,noun,das,,neutro,tempo (meteorológico),"Das Wetter ist heute schlecht.","O tempo hoje está mau.",Wetter,Sem plural habitual
A2,Sonne,noun,die,,fem,sol,"Die Sonne scheint.","O sol brilha.",Wetter,Geralmente sem plural
A2,Regen,noun,der,,masc,chuva,"Der Regen hört nicht auf.","A chuva não para.",Wetter,Geralmente sem plural
A2,Schnee,noun,der,,masc,neve,"Der Schnee ist weiß und kalt.","A neve é branca e fria.",Wetter,Geralmente sem plural
A2,Wind,noun,der,Winde,masc,vento,"Der Wind ist heute sehr stark.","O vento está muito forte hoje.",Wetter,Plural com -e
A2,Wolke,noun,die,Wolken,fem,nuvem,"Die Wolken sind dunkel.","As nuvens estão escuras.",Wetter,Plural com -n
A2,Temperatur,noun,die,Temperaturen,fem,temperatura,"Die Temperatur liegt bei 20 Grad.","A temperatura é de 20 graus.",Wetter,Plural com -en
A2,Flughafen,noun,der,Flughäfen,masc,aeroporto,"Der Flughafen ist weit von der Stadt.","O aeroporto fica longe da cidade.",Reisen,Composto: Flug + Hafen
A2,Zug,noun,der,Züge,masc,comboio,"Der Zug fährt pünktlich ab.","O comboio parte a horas.",Reisen,Plural com Umlaut + -e
A2,Ticket,noun,das,Tickets,neutro,bilhete,"Ich kaufe ein Ticket online.","Compro o bilhete online.",Reisen,Plural com -s; anglicismo
